place_id,name,latitude,longitude,Main_category,categories,rating,address
ChIJ0eqeERAK5IkRuhRakIkMwCE,Sri Shirdi Sai Baba Temple,42.2905422,-71.6558864,Community,"hindu_temple,place_of_worship,point_of_interest,establishment,",4.8,"107 Otis Street, Northborough"
ChIJ0f8PtHx644kRhb-e9PqR_IQ,KO Catering and Pies,42.3424374,-71.0545769,Health,"meal_delivery,meal_takeaway,store,restaurant,food,point_of_interest,establishment,",4.6,"87 A Street, South Boston"
ChIJ0f8PtHx644kRhb-e9PqR_IQ,KO Catering and Pies,42.3424374,-71.0545769,Health,"meal_delivery,meal_takeaway,store,restaurant,food,point_of_interest,establishment,",4.6,"87 A Street, South Boston"
ChIJ0fJL_jV444kRJ0I7Dpi30hQ,Boston Police District D-14 Brighton/ Allston,42.3493,-71.1506,Community,"police,point_of_interest,establishment,",1.6,"301 Washington Street, Brighton"
ChIJ0RXMMSd-5IkRWCWLOwfb1qY,Landry's Bicycles,42.171236,-71.194544,Health,"bicycle_store,store,point_of_interest,establishment,",4.4,"1210 Boston-Providence Turnpike, Norwood"
ChIJ0SMjxmB644kRvYb733zQxpA,Domino's Pizza,42.3341348,-71.0549515,Health,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment,",2.3,"163 Old Colony Avenue, Boston"
ChIJ0SV7sXN944kRUEnwSeI7nFU,Archdiocese of Boston,42.2128731,-71.0408197,Community,"church,place_of_worship,point_of_interest,establishment,",2.3,"66 Brooks Drive, Braintree"
ChIJ0TH8T1uY44kRsBGVRPOHFFc,US Post Office,42.5288492,-71.3460324,Community,"post_office,finance,point_of_interest,establishment,",,"70 Bedford Road, Carlisle"
ChIJ0VfYR6Vs44kRF3M12o8secM,Elihu Thomson Administration Building,42.4695684,-70.9182608,Community,"city_hall,local_government_office,point_of_interest,establishment,",,"22 Elmwood Road Rotary, Swampscott"
ChIJ0VjiTT9844kR_TimyzA57x0,Milton Academy Bookstore,42.2568501,-71.0693604,Education,"book_store,store,point_of_interest,establishment,",4.4,"170 Centre Street, Milton"
ChIJ0VWVAXC644kRO0GVY79XxDQ,Barnes & Noble,42.7110068,-71.4430532,Education,"book_store,electronics_store,home_goods_store,store,point_of_interest,establishment,",4.3,"235 Daniel Webster Hwy, Nashua"
ChIJ0Wj6DGUU44kRXhCZNXF-geM,Peabody Essex Museum,42.5217295,-70.8922396,Education,"museum,point_of_interest,establishment,",4.7,"161 Essex Street, Salem"
ChIJ0X8SjpyJ5IkRuONyRPsZTa8,Gold's Gym,41.997855,-71.149726,Health,"gym,health,point_of_interest,establishment,",4.4,"314 East Main Street #4, Norton"
ChIJ0YfXREJ-5IkR_57B5Jj86fo,The Commons at Windsor Gardens,42.1724145,-71.2224537,Finance,"real_estate_agency,point_of_interest,establishment,",3.2,"2433, 624 Walpole Street, Norwood"
ChIJ0zpe_9iC44kR92wvs_lpbGQ,Waltham Masjid,42.3708554,-71.237215,Community,"mosque,place_of_worship,point_of_interest,establishment,",5,"313 Moody Street, Waltham"
ChIJ11_a1phw44kREUKu3SDpek8,US Post Office,42.3596617,-71.071034,Community,"post_office,finance,point_of_interest,establishment,",2.9,"136 Charles Street, Boston"
ChIJ13IzFs8R44kR8_ob8m3bifE,Essex County Sheriff's Department,42.59751,-70.98595,Community,"local_government_office,police,point_of_interest,establishment,",2.6,"20 Manning Avenue, Middleton"
ChIJ14NjYZ8K5IkRw0VcBrdt0ss,The Chateau Westboro Restaurant,42.2869819,-71.5976988,Health,"meal_delivery,night_club,bar,meal_takeaway,restaurant,food,point_of_interest,establishment,",3.9,"95 Turnpike Road, Westborough"
